Element Number	Equivalent (von-Mises) Stress (Pa)
322	7,6331e+006
323	1,3434e+007
324	8,2706e+006
325	3,0234e+007
326	8,2737e+006
327	6,5689e+006
328	1,176e+007
329	8,3531e+006
330	6,49e+006
331	8,1409e+006
332	1,0382e+007
333	9,5951e+006
334	6,2829e+006
335	7,9142e+006
336	7,3597e+006
337	1,0362e+007
338	8,7123e+006
339	8,0108e+006
340	8,8709e+006
341	6,5153e+006
342	7,7207e+006
343	5,4127e+006
344	5,3505e+006
345	1,1273e+007
346	9,613e+006
347	1,1945e+007
348	7,0673e+006
349	1,262e+007
350	1,5215e+007
351	5,0407e+006
352	2,6045e+006
353	5,2851e+006
354	1,1625e+007
355	6,2744e+006
356	9,1844e+006
357	6,1013e+006
358	7,9251e+006
359	8,6218e+006
360	7,7066e+006
361	6,8753e+006
362	7,0955e+006
363	6,2437e+006
364	8,8473e+006
365	4,5577e+006
366	8,5979e+006
367	7,5124e+006
368	9,0708e+006
369	1,3018e+007
370	1,0655e+007
371	7,6352e+006
372	1,0891e+007
373	7,4653e+006
374	1,1491e+007
375	1,0128e+007
376	9,5548e+006
377	9,2748e+006
378	1,4067e+007
379	1,0265e+007
380	1,1713e+007
381	6,7815e+006
382	6,2378e+006
383	5,3496e+006
384	1,0937e+007
385	9,5601e+006
386	1,1701e+007
387	1,4017e+007
388	1,359e+007
389	2,0909e+007
390	1,2416e+007
391	9,5374e+006
392	7,2424e+006
393	5,1319e+006
394	9,5635e+006
395	9,9024e+006
396	1,3269e+007
397	9,7791e+006
398	1,2665e+007
399	9,8032e+006
400	7,1742e+006
401	1,5984e+007
402	5,4031e+006
403	1,5067e+006
404	1,2905e+007
405	1,1689e+007
406	1,1387e+007
407	1,2595e+007
408	1,29e+007
409	1,1578e+007
410	8,9093e+006
411	1,1909e+007
412	1,0022e+007
413	1,2901e+007
414	1,1761e+007
415	6,3159e+006
416	1,185e+007
417	1,1798e+007
418	1,8383e+007
419	4,9058e+006
420	8,9184e+006
421	1,3335e+007
422	1,2218e+007
423	1,7483e+007
424	1,247e+007
425	1,715e+007
426	6,4765e+006
427	7,1749e+006
428	4,1538e+006
429	3,7052e+006
430	7,5426e+006
431	3,2547e+006
432	9,2497e+006
433	6,3859e+006
434	5,4882e+006
435	6,0386e+006
436	7,2438e+006
437	7,8948e+006
438	7,1681e+006
439	6,1223e+006
440	5,4678e+006
441	1,2597e+007
442	1,3934e+007
443	6,3542e+006
444	8,9288e+006
445	1,0147e+007
446	1,6081e+007
447	1,5345e+007
448	9,0254e+006
449	5,943e+006
450	4,5931e+006
451	1,3226e+007
452	1,4721e+007
453	5,9385e+006
454	3,2717e+006
455	2,9443e+006
456	1,1283e+006
457	8,4234e+006
458	8,6318e+006
459	2,1818e+007
460	2,4768e+007
461	1,3754e+007
462	2,2175e+007
463	7,3804e+006
464	3,2117e+007
465	1,126e+007
466	3,1641e+007
467	8,3546e+006
468	1,1731e+007
469	8,7067e+006
470	5,4605e+006
471	7,8287e+006
472	8,4246e+006
473	7,7698e+006
474	1,8394e+007
475	1,7555e+007
476	9,2927e+006
477	8,7321e+006
478	7,9642e+006
479	5,8496e+006
480	3,5573e+006
481	2,1076e+006
482	9,9995e+006
483	6,6572e+006
484	3,3492e+006
485	4,8974e+006
486	4,8125e+006
487	1,3735e+007
488	1,6574e+007
489	4,2946e+006
490	8,0735e+006
491	4,7748e+006
492	4,6946e+006
493	1,4717e+007
494	1,3125e+007
495	2,9234e+006
496	5,0817e+006
497	1,6756e+007
498	1,494e+007
499	4,0573e+006
500	4,7898e+006
501	5,1554e+006
502	7,0616e+006
503	3,3299e+006
504	6,0483e+006
505	4,1547e+006
506	2,9557e+006
507	2,7315e+006
508	2,6374e+006
509	2,6559e+006
510	8,4421e+006
511	7,5333e+006
512	2,2974e+006
513	1,6047e+006
514	7,3022e+006
515	4,9573e+006
516	3,7431e+006
517	4,0368e+006
518	6,2548e+006
