Element Number	Equivalent Elastic Strain (m/m)
322	3,8166e-005
323	6,7171e-005
324	4,1353e-005
325	1,5117e-004
326	4,1368e-005
327	3,2845e-005
328	5,88e-005
329	4,1765e-005
330	3,245e-005
331	4,0705e-005
332	5,191e-005
333	4,7976e-005
334	3,1415e-005
335	3,9571e-005
336	3,6798e-005
337	5,1808e-005
338	4,3561e-005
339	4,0054e-005
340	4,4354e-005
341	3,2576e-005
342	3,8604e-005
343	2,7064e-005
344	2,6753e-005
345	5,6366e-005
346	4,8065e-005
347	5,9723e-005
348	3,5337e-005
349	6,3102e-005
350	7,6076e-005
351	2,5203e-005
352	1,3022e-005
353	2,6425e-005
354	5,8124e-005
355	3,1372e-005
356	4,5922e-005
357	3,0507e-005
358	3,9626e-005
359	4,3109e-005
360	3,8533e-005
361	3,4376e-005
362	3,5478e-005
363	3,1218e-005
364	4,4236e-005
365	2,2788e-005
366	4,2989e-005
367	3,7562e-005
368	4,5354e-005
369	6,509e-005
370	5,3276e-005
371	3,8176e-005
372	5,4456e-005
373	3,7326e-005
374	5,7457e-005
375	5,064e-005
376	4,7774e-005
377	4,6374e-005
378	7,0337e-005
379	5,1327e-005
380	5,8566e-005
381	3,3907e-005
382	3,1189e-005
383	2,6748e-005
384	5,4684e-005
385	4,78e-005
386	5,8504e-005
387	7,0086e-005
388	6,7949e-005
389	1,0454e-004
390	6,208e-005
391	4,7687e-005
392	3,6212e-005
393	2,566e-005
394	4,7818e-005
395	4,9512e-005
396	6,6343e-005
397	4,8896e-005
398	6,3325e-005
399	4,9016e-005
400	3,5871e-005
401	7,9921e-005
402	2,7016e-005
403	7,5336e-006
404	6,4525e-005
405	5,8446e-005
406	5,6936e-005
407	6,2976e-005
408	6,4502e-005
409	5,7889e-005
410	4,4546e-005
411	5,9544e-005
412	5,0112e-005
413	6,4506e-005
414	5,8804e-005
415	3,158e-005
416	5,925e-005
417	5,8988e-005
418	9,1915e-005
419	2,4529e-005
420	4,4592e-005
421	6,6673e-005
422	6,109e-005
423	8,7415e-005
424	6,2351e-005
425	8,5749e-005
426	3,2383e-005
427	3,5875e-005
428	2,0769e-005
429	1,8526e-005
430	3,7713e-005
431	1,6274e-005
432	4,6248e-005
433	3,1929e-005
434	2,7441e-005
435	3,0193e-005
436	3,6219e-005
437	3,9474e-005
438	3,5841e-005
439	3,0611e-005
440	2,7339e-005
441	6,2987e-005
442	6,967e-005
443	3,1771e-005
444	4,4644e-005
445	5,0733e-005
446	8,0403e-005
447	7,6724e-005
448	4,5127e-005
449	2,9715e-005
450	2,2966e-005
451	6,6131e-005
452	7,3605e-005
453	2,9693e-005
454	1,6358e-005
455	1,4721e-005
456	5,6413e-006
457	4,2117e-005
458	4,3159e-005
459	1,0909e-004
460	1,2384e-004
461	6,877e-005
462	1,1088e-004
463	3,6902e-005
464	1,6058e-004
465	5,6298e-005
466	1,582e-004
467	4,1773e-005
468	5,8655e-005
469	4,3534e-005
470	2,7302e-005
471	3,9144e-005
472	4,2123e-005
473	3,8849e-005
474	9,1971e-005
475	8,7776e-005
476	4,6463e-005
477	4,3661e-005
478	3,9821e-005
479	2,9248e-005
480	1,7786e-005
481	1,0538e-005
482	4,9998e-005
483	3,3286e-005
484	1,6746e-005
485	2,4487e-005
486	2,4062e-005
487	6,8677e-005
488	8,287e-005
489	2,1473e-005
490	4,0367e-005
491	2,3874e-005
492	2,3473e-005
493	7,3583e-005
494	6,5627e-005
495	1,4617e-005
496	2,5408e-005
497	8,3781e-005
498	7,4701e-005
499	2,0286e-005
500	2,3949e-005
501	2,5777e-005
502	3,5308e-005
503	1,665e-005
504	3,0241e-005
505	2,0773e-005
506	1,4778e-005
507	1,3657e-005
508	1,3187e-005
509	1,3279e-005
510	4,2211e-005
511	3,7666e-005
512	1,1487e-005
513	8,0236e-006
