Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
317	-1,8262e-002	-4,5548e-002	0,	1,4264e-006
318	-2,8193e-002	-3,4549e-002	0,	2,6299e-006
319	3,5798e-002	2,7077e-002	0,	2,5287e-006
320	3,5798e-002	-2,7077e-002	0,	2,4446e-006
321	4,6892e-002	-1,8461e-002	0,	1,3356e-006
322	4,689e-002	1,8466e-002	0,	1,3976e-006
323	-9,3055e-003	-4,8341e-002	0,	9,6401e-007
324	-9,3055e-003	4,8341e-002	0,	9,7836e-007
325	-4,8416e-002	-1,521e-002	0,	1,2872e-006
326	-4,8715e-002	1,4661e-002	0,	1,2972e-006
327	5,1451e-002	8,7137e-003	0,	5,1331e-007
328	5,1453e-002	-8,7086e-003	0,	4,6979e-007
329	3,641e-002	1,5231e-002	0,	3,2374e-006
330	3,641e-002	-1,5231e-002	0,	3,1846e-006
331	2,8387e-002	-3,5554e-002	0,	2,3637e-006
332	2,8387e-002	3,5554e-002	0,	2,4358e-006
333	-4,5339e-002	-3,8969e-003	0,	1,5504e-006
334	-4,563e-002	4,5745e-003	0,	1,5592e-006
335	-5,2254e-002	7,1025e-003	0,	5,1928e-007
336	-5,2307e-002	-7,0452e-003	0,	4,5013e-007
337	-2,5116e-003	4,3268e-002	0,	1,4891e-006
338	-2,5116e-003	-4,3268e-002	0,	1,3934e-006
339	5,855e-003	-5,4102e-002	0,	2,5344e-007
340	5,081e-002	1,023e-002	2,e-002	2,515e-006
341	5,2456e-002	-1,0249e-002	2,e-002	2,5064e-006
342	-8,0841e-003	4,5379e-002	2,e-002	2,7917e-006
343	-8,0841e-003	-4,5379e-002	2,e-002	2,8004e-006
344	-9,3079e-003	-5,3583e-002	2,e-002	2,3932e-006
345	-9,3079e-003	5,3583e-002	2,e-002	2,3155e-006
346	9,5277e-003	5,2562e-002	2,e-002	2,3533e-006
347	9,5277e-003	-5,2562e-002	2,e-002	2,4298e-006
348	4,578e-002	4,2289e-003	2,e-002	2,971e-006
349	-2,8636e-002	-4,2578e-002	9,6713e-003	1,2531e-006
350	2,72e-002	-4,1235e-002	1,2165e-002	1,7465e-006
351	6,3736e-003	-4,5533e-002	5,8008e-003	1,2524e-006
352	-2,8667e-002	3,7873e-002	1,2831e-002	2,1764e-006
353	6,2077e-003	5,3083e-002	6,7866e-003	5,1247e-007
354	-1,517e-002	-4,9065e-002	1,0408e-002	1,0843e-006
355	-3,8758e-002	-3,271e-002	1,1649e-002	1,5569e-006
356	5,2796e-002	-1,1222e-002	5,7653e-003	4,6167e-007
357	5,0889e-003	4,5058e-002	4,5615e-003	1,1581e-006
358	2,0116e-002	4,4816e-002	1,1031e-002	1,4818e-006
359	-8,8549e-003	5,2818e-002	6,7435e-003	4,8489e-007
360	6,6181e-003	4,6179e-002	1,5123e-002	2,1603e-006
361	1,2363e-002	-4,7586e-002	1,0336e-002	1,356e-006
362	-3,9572e-002	3,0634e-002	4,9881e-003	1,603e-006
363	4,7051e-002	-1,8663e-002	1,2405e-002	1,5382e-006
364	-4,4016e-002	1,5036e-002	9,0125e-003	1,8796e-006
365	5,47e-002	6,5541e-003	7,2829e-003	7,505e-007
366	5,7236e-003	-5,4457e-002	5,1645e-003	4,2145e-007
367	4,5158e-002	1,4358e-002	1,2715e-002	1,9548e-006
368	-5,1196e-002	8,5802e-003	1,5323e-002	1,8837e-006
369	-4,5513e-002	-1,593e-002	1,3278e-002	1,992e-006
370	-4,658e-002	-8,1996e-003	7,0011e-003	1,471e-006
371	-6,0844e-003	-5,3513e-002	4,4914e-003	2,5707e-007
372	-1,6759e-002	3,2797e-002	4,9998e-003	3,9047e-006
373	3,3002e-002	3,5961e-002	1,1979e-002	1,8382e-006
374	3,9553e-002	-3,0112e-002	9,4249e-003	1,561e-006
375	-1,6091e-002	4,7351e-002	1,2533e-002	1,5265e-006
376	1,2988e-002	3,6731e-002	4,8412e-003	2,998e-006
377	-4,5207e-002	-3,5799e-003	1,3863e-002	2,4053e-006
378	-7,2244e-003	4,5988e-002	4,9043e-003	1,2152e-006
379	-2,5931e-003	-5,5404e-002	1,4086e-002	1,6315e-006
380	-4,6608e-002	7,2559e-003	7,8584e-003	1,5246e-006
381	4,3003e-002	2,5892e-002	9,8896e-003	1,5013e-006
382	4,8663e-002	-9,8378e-003	1,1873e-002	1,6322e-006
383	-7,4955e-003	-4,8982e-002	1,1802e-002	1,4838e-006
384	6,2492e-003	-4,5829e-002	1,4642e-002	2,1727e-006
385	-6,7451e-003	5,0134e-002	1,1067e-002	1,248e-006
386	4,5445e-002	8,6658e-003	6,0938e-003	1,4983e-006
387	-4,4366e-002	1,2327e-017	5,e-003	1,7547e-006
388	4,8021e-002	8,1067e-003	1,1485e-002	1,634e-006
389	-2,8406e-003	4,3591e-002	1,5e-002	2,5464e-006
390	1,3406e-003	-4,3591e-002	1,5e-002	2,5793e-006
391	-3,3728e-003	5,4924e-002	4,0214e-003	3,0641e-007
392	-8,9102e-003	-4,5189e-002	5,4074e-003	1,3754e-006
393	1,21e-002	-3,3158e-002	5,e-003	3,9313e-006
394	-4,4744e-002	4,9638e-003	1,4617e-002	2,5442e-006
395	1,8747e-003	5,6711e-002	1,5465e-002	1,7654e-006
